n|rsc|name|format|dateCr|dateMo|id|size
357|covid-19|נתוני קורונה בידודים|CSV|2020-04-07|2022-06-15|9eedd26c-019b-433a-b28b-efcc98de378d|26798
357|covid-19|נתוני קורונה בדיקות מעבדה - README|PDF|2020-04-07|2020-09-06|7b8bdafc-212e-42b6-addf-5863c222d5ba|963160
357|covid-19|נתונים קורונה - בדיקות מעבדה - README|PDF|2020-05-17|2022-01-16|a64a73fd-bdba-474e-98b1-edf8c0940ff8|974141
357|covid-19|נתוני קורונה בדיקות מעבדה מחצית ראשונה של 2022 COVID-19 lab data|CSV|2020-04-07|2022-08-03|dcf999c1-d394-4b57-a5e0-9d014a62e046|429868058
357|covid-19|נתוני קורונה מאפייני נבדקים - README|PDF|2020-04-08|2021-01-04|3f5c975e-7196-454b-8c5b-ef85881f78db|995249
357|covid-19|covid-19 tested individuals - README|PDF|2020-05-17|2020-05-17|0ac4cffc-3746-473a-8d4a-ab874b8d8d62|554073
357|covid-19|נתוני קורונה מאפייני נבדקים tested individuals|CSV|2020-04-08|2022-03-06|d337959a-020a-4ed3-84f7-fca182292308|462695843
357|covid-19|נתוני קורונה מאפייני נבדקים - שבועיים אחרונים בלבד|CSV|2020-07-29|2022-03-06|74216e15-f740-4709-adb7-a6fb0955a048|4862338
357|covid-19|נתוני קורונה מאפייני נבדקים - טבלת עזר|CSV|2020-04-28|2022-03-09|09e66a69-ad5b-4c46-a5d9-1d1479b1f338|58130
357|covid-19|נתוני קורונה מחלימים - README|PDF|2020-04-14|2022-01-05|486c9814-381a-4b7b-be20-43208f3151e1|442588
357|covid-19|נתוני קורונה מחלימים recovered|CSV|2020-04-14|2022-08-03|8455d49f-ce32-4f8f-b1d4-1d764660cca3|167165063
357|covid-19|נתוני קורונה איזורים סטטיסטיים - README|PDF|2020-05-07|2021-08-16|22d5dad8-e0ef-425b-86f9-655fbe468823|383230
357|covid-19|covid-19 by area - README|PDF|2020-05-10|2020-10-27|decbd301-a15f-43fa-853e-dcc7ff632216|363299
357|covid-19|נתוני קורונה איזורים סטטיסטיים covid-19 by area|CSV|2020-05-07|2023-03-22|d07c0771-01a8-43b2-96cc-c6154e7fa9bd|219725448
357|covid-19|נתוני קורונה מאושפזים - README|PDF|2020-09-17|2021-11-14|b3ab17bb-5d1c-4c00-be2d-68269077a7e6|662212
