n|rsc|org|tag|tagId
59|290|social_security|בריאות ורווחה|--
59|290|social_security|עצמאי|--
60|291|social_security|אוצר וכלכלה|--
60|291|social_security|ביטוח לאומי|--
60|291|social_security|לא שכירים|--
61|292|social_security|אוצר וכלכלה|--
61|292|social_security|ביטוח לאומי|--
61|292|social_security|דמי ביטוח לאומי|--
61|292|social_security|הכנסה מזערית|--
61|292|social_security|הכנסה מירבות|--
61|292|social_security|מעסיק|--
61|292|social_security|תקרת הכנסה|--
62|293|social_security|אוצר וכלכלה|--
62|293|social_security|ביטוח לאומי|--
62|293|social_security|דמי ביטוח|--
62|293|social_security|הכנסה מזערית|--
62|293|social_security|הכנסה מירבות|--
62|293|social_security|תקרת הכנסה|--
63|294|social_security|אוצר וכלכלה|--
63|294|social_security|ביטוח לאומי|--
63|294|social_security|דמי ביטוח לאומי|--
63|294|social_security|הכנסה מזערית|--
63|294|social_security|הכנסה מירבות|--
63|294|social_security|תקרת הכנסה|--
64|30|science-and-technology|מדע|--
65|30-2021|mof|אומדן|--
65|30-2021|mof|שינויים בתקציב|--
65|30-2021|mof|תקציב|--
65|30-2021|mof|תקציב וביצוע|--
66|30-6-2022|mof|תקציב|--
66|30-6-2022|mof|תקציב וביצוע|--
67|30-6-2023|mof|תקציב|--
67|30-6-2023|mof|תקציב וביצוע|--
68|30-6-2024|mof|תקציב|--
68|30-6-2024|mof|תקציב וביצוע|--
69|30-6-2025|mof|תקציב|--
69|30-6-2025|mof|תקציב וביצוע|--
71|30-9-2022|mof|תקציב|--
71|30-9-2022|mof|תקציב וביצוע|--
72|30-9-2023|mof|תקציב|--
72|30-9-2023|mof|תקציב וביצוע|--
73|30-9-2024|mof|תקציב|--
73|30-9-2024|mof|תקציב וביצוע|--
74|31-2021|mof|אומדן|--
74|31-2021|mof|שינויים בתקציב|--
74|31-2021|mof|תקציב|--
74|31-2021|mof|תקציב וביצוע|--
75|31-2022|mof|תקציב|--
75|31-2022|mof|תקציב וביצוע|--
76|31-3-2023|mof|תקציב|--
76|31-3-2023|mof|תקציב וביצוע|--
77|31-3-2024|mof|תקציב|--
77|31-3-2024|mof|תקציב וביצוע|--
78|31-3-2025|mof|תקציב|--
78|31-3-2025|mof|תקציב וביצוע|--
79|321|population_authority|אוכלוסיה|--
79|321|population_authority|רחובות ישראל|--
80|334|isa|אוצר וכלכלה|--
80|334|isa|חברות ציבוריות|--
80|334|isa|תאגידים מדווחים בישראל|--
80|334|isa|תאגידים ציבוריים|--
81|335|isa|אוצר וכלכלה|--
82|343|ministry_of_immigrant_absorption|אוכלוסיה|--
82|343|ministry_of_immigrant_absorption|אוצר וכלכלה|--
82|343|ministry_of_immigrant_absorption|מוסדות ציבור|--
82|343|ministry_of_immigrant_absorption|סיוע|--
82|343|ministry_of_immigrant_absorption|עזבונות|--
83|345|ministry_of_agriculture|בעלי חיים|--
83|345|ministry_of_agriculture|בריאות|--
83|345|ministry_of_agriculture|בריאות ורווחה|--
83|345|ministry_of_agriculture|חקלאות|--
83|345|ministry_of_agriculture|סביבה|--
83|345|ministry_of_agriculture|רופאים וטרינריים|--
83|345|ministry_of_agriculture|רפואה|--
84|348|bank_israel|אוצר וכלכלה|--
85|350|bank_israel|אוצר וכלכלה|--
86|351|bank_israel|אוצר וכלכלה|--
87|352|bank_israel|אוצר וכלכלה|--
88|353|bank_israel|אוצר וכלכלה|--
89|354new|bank_israel|אוצר וכלכלה|--
90|355new|bank_israel|אוצר וכלכלה|--
91|356|bank_israel|2012|--
91|356|bank_israel|אוצר וכלכלה|--
91|356|bank_israel|בנק ישראל|--
91|356|bank_israel|מטבעות יציגים|--
91|356|bank_israel|שער חליפין|--
91|356|bank_israel|שערי מטבע|--
92|357|bank_israel|2011|--
92|357|bank_israel|אוצר וכלכלה|--
92|357|bank_israel|בנק ישראל|--
92|357|bank_israel|שערי מטבע|--
92|357|bank_israel|שערים יציגים|--
93|358|bank_israel|אוצר וכלכלה|--
94|360|bank_israel|אוצר וכלכלה|--
95|361|bank_israel|2007|--
95|361|bank_israel|אוצר וכלכלה|--
95|361|bank_israel|בנק ישראל|--
95|361|bank_israel|מטבעות יציגים|--
95|361|bank_israel|שערי מטבע|--
96|362|bank_israel|2006|--
96|362|bank_israel|אוצר וכלכלה|--
96|362|bank_israel|בנק ישראל|--
96|362|bank_israel|מטבע חוץ|--
96|362|bank_israel|שערי חליפין|--
96|362|bank_israel|שערים יציגים|--
96|362|bank_israel|שערים ממוצעים|--
97|363|bank_israel|2005|--
97|363|bank_israel|אוצר וכלכלה|--
97|363|bank_israel|בנק ישראל|--
97|363|bank_israel|מטבע יציג|--
97|363|bank_israel|שערי מטבע|--
97|363|bank_israel|שערים ממוצעים|--
98|364|bank_israel|אוצר וכלכלה|--
98|364|bank_israel|בנק ישראל|--
98|364|bank_israel|שער יציג|--
98|364|bank_israel|שערי מטבע|--
98|364|bank_israel|שערים ממוצעים|--
99|365|bank_israel|אוצר וכלכלה|--
99|365|bank_israel|מטבע חוץ|--
99|365|bank_israel|שערי חליפין|--
99|365|bank_israel|שערים יציגים|--
99|365|bank_israel|שערים ממוצעים|--
100|366|bank_israel|אוצר וכלכלה|--
100|366|bank_israel|מטבע חוץ|--
100|366|bank_israel|מטבעות יציגים|--
100|366|bank_israel|שער יציג|--
100|366|bank_israel|שערי חליפין|--
100|366|bank_israel|שערים ממוצעים|--
101|367|bank_israel|2001|--
101|367|bank_israel|אוצר וכלכלה|--
101|367|bank_israel|בנק ישראל|--
101|367|bank_israel|שער יציג|--
101|367|bank_israel|שערי מטבע|--
101|367|bank_israel|שערים ממוצעים|--
102|371|bank_israel|אוצר וכלכלה|--
102|371|bank_israel|בנק ישראל|--
102|371|bank_israel|הצמדה למדד|--
102|371|bank_israel|משכנתאות|--
102|371|bank_israel|עמלת פרעון מוקדם|--
102|371|bank_israel|ריבית ממוצעת|--
103|374|bank_israel|אוצר וכלכלה|--
103|374|bank_israel|בנק ישראל|--
103|374|bank_israel|לא צמוד|--
103|374|bank_israel|מגזר שיקלי|--
103|374|bank_israel|משכנתאות|--
103|374|bank_israel|ריבית קבועה ממוצעת|--
104|375|bank_israel|אוצר וכלכלה|--
104|375|bank_israel|בנק ישראל|--
104|375|bank_israel|בנקים|--
105|377|bank_israel|אוצר וכלכלה|--
105|377|bank_israel|בנק ישראל|--
105|377|bank_israel|חשבונות מוגבלים|--
105|377|bank_israel|תאגידים|--
106|379|bank_israel|אוצר וכלכלה|--
106|379|bank_israel|בנק ישראל|--
106|379|bank_israel|מדד משולב|--
106|379|bank_israel|שינוי במדד המשולב|--
107|381|bank_israel|אוצר וכלכלה|--
108|3-9-2025|holocaust_survivors_rights|זכויות ניצולי שואה|--
108|3-9-2025|holocaust_survivors_rights|ניצולי שואה|--
109|408|culture_and_sports|חינוך ותרבות|--
109|408|culture_and_sports|מתקני ספורט|--
109|408|culture_and_sports|נגישות|--
109|408|culture_and_sports|ספורט|--
109|408|culture_and_sports|תחרויות|--
110|425|ministry_of_education|חינוך ותרבות|--
111|46|science-and-technology|מדען ראשי חברי פורום|--
112|48|science-and-technology|מדע|--
112|48|science-and-technology|סל מדע|--
113|481|meteorological_service|אקלים|--
113|481|meteorological_service|השירות המטאורולוגי|--
113|481|meteorological_service|השרות המטאורולוגי|--
113|481|meteorological_service|טמפרטורה|--
113|481|meteorological_service|לחות יחסית|--
113|481|meteorological_service|לחץ|--
113|481|meteorological_service|משקעים|--
113|481|meteorological_service|סביבה|--
113|481|meteorological_service|רוח|--
114|486|betihut-drahim|אוכלוסיה|--
114|486|betihut-drahim|בטיחות|--
114|486|betihut-drahim|בטיחות בדרכים|--
114|486|betihut-drahim|משרד התחבורה|--
114|486|betihut-drahim|תחבורה|--
115|49|science-and-technology|מדע|--
117|500|ministry_of_agriculture|חקלאות|--
117|500|ministry_of_agriculture|ירקות|--
117|500|ministry_of_agriculture|מזון|--
117|500|ministry_of_agriculture|משרד החקלאות|--
117|500|ministry_of_agriculture|פירות|--
117|500|ministry_of_agriculture|פירות וירקות|--
118|502|culture_and_sports|הכשרה|--
118|502|culture_and_sports|מרכזי צלילה|--
118|502|culture_and_sports|ספורט|--
118|502|culture_and_sports|צלילה|--
119|502-2|culture_and_sports|איל|--
119|502-2|culture_and_sports|מרכזי צלילה|--
119|502-2|culture_and_sports|ספורט|--
119|502-2|culture_and_sports|צלילה|--
120|503|culture_and_sports|מוזיאונים|--
121|504|culture_and_sports|סרטים|--
122|506-1|culture_and_sports|בוחן רכב|--
122|506-1|culture_and_sports|מכוניו|--
122|506-1|culture_and_sports|נהיגה ספורטיבי|--
123|506-2|culture_and_sports|אופנוע|--
123|506-2|culture_and_sports|בוחני רכב|--
123|506-2|culture_and_sports|טרקטורון|--
123|506-2|culture_and_sports|נהיגה ספורטיבי|--
124|508|culture_and_sports|דרגות|--
124|508|culture_and_sports|נהיגה|--
124|508|culture_and_sports|נהיגה ספורטיבית|--
124|508|culture_and_sports|רישיון|--
125|51|science-and-technology|חוגים|--
125|51|science-and-technology|סל מדע|--
126|510|culture_and_sports|מוזיאון|--
126|510|culture_and_sports|מוכר|--
126|510|culture_and_sports|תרבות|--
127|517|culture_and_sports|הכשר|--
127|517|culture_and_sports|מאושרים|--
127|517|culture_and_sports|מאמנים|--
127|517|culture_and_sports|מוסדו|--
127|517|culture_and_sports|קורסים|--
128|518|culture_and_sports|מוסדות הכשרה|--
128|518|culture_and_sports|מידעונים|--
129|519|culture_and_sports|תוכנית לימודים ענף ספורט הכשרת מדריכים|--
130|52|science-and-technology|חלל|--
130|52|science-and-technology|טכנולוגיה|--
130|52|science-and-technology|מדע|--
131|520|culture_and_sports|תוכניות לימודים הכשרת מאמנים ענף ספורט|--
132|521|culture_and_sports|ענפי קרב מוכרים|--
133|53|science-and-technology|משרד המדע|--
134|531|mof|אוצר וכלכלה|--
134|531|mof|שינויים תקציב|--
134|531|mof|תקציב|--
135|532|culture_and_sports|מנהלי מחלקות ספורט רשויות מקומיות|--
136|534|mof|אוצר וכלכלה|--
136|534|mof|ביצוע|--
136|534|mof|תקציב|--
137|535|culture_and_sports|סוגי מתקן|--
137|535|culture_and_sports|סל הספורט|--
138|536|culture_and_sports|גיל|--
138|536|culture_and_sports|ספורט|--
138|536|culture_and_sports|ענף|--
139|538-1|culture_and_sports|אגרה|--
139|538-1|culture_and_sports|כלי תחרותי|--
139|538-1|culture_and_sports|נהיגה ספורטיבית|--
139|538-1|culture_and_sports|רישיון|--
139|538-1|culture_and_sports|רכב|--
140|54|science-and-technology|משרד המדע|--
141|541|culture_and_sports|מומחי שימור מוזיאונים|--
142|542|isa|אוצר וכלכלה|--
142|542|isa|יועצי השקעות|--
142|542|isa|מנהלי תיקים|--
142|542|isa|רשות ניירות הערך|--
143|543|isa|אוצר וכלכלה|--
144|544|isa|אוצר וכלכלה|--
144|544|isa|חברות חיתום|--
144|544|isa|חתמים|--
144|544|isa|רשות ניירות הערך|--
145|545|isa|אוצר וכלכלה|--
145|545|isa|חתמים|--
145|545|isa|חתמים מורשים|--
145|545|isa|רשות לניירות ערך|--
145|545|isa|רשות ניירות הערך|--
146|547|knesset|הכנה בוועדה|--
146|547|knesset|הכנסת|--
146|547|knesset|הצעות חוק|--
146|547|knesset|הצעות חוק ממשלתיות|--
146|547|knesset|הצעות חוק פרטיות|--
146|547|knesset|הצעת חוק ממשלתית|--
146|547|knesset|הצעת חוק פרטית|--
146|547|knesset|הצעת חוק של ועדה|--
146|547|knesset|כנסת|--
146|547|knesset|לדיון במליאה|--
146|547|knesset|משפט|--
146|547|knesset|קריאה ראשונה|--
146|547|knesset|קריאה שלישית|--
146|547|knesset|קריאה שלישת|--
146|547|knesset|קריאה שניה|--
146|547|knesset|קריאה שנייה|--
147|548|knesset|הכנסת|--
147|548|knesset|הצעות חוק|--
147|548|knesset|חקיקה|--
147|548|knesset|כנסת|--
147|548|knesset|משפט|--
147|548|knesset|קריאה שלישית|--
148|549|knesset|אוצר וכלכלה|--
148|549|knesset|חברי כנסת|--
148|549|knesset|כנסת|--
148|549|knesset|ממשלות|--
148|549|knesset|סיעות|--
149|551|culture_and_sports|ספריות ציבוריות חברי מועצה|--
150|552|culture_and_sports|קולנוע חברי מועצה|--
151|557|ministry_of_the_environment|קרינה|--
152|558|culture_and_sports|אלימות ספורט|--
153|559|culture_and_sports|קידום נשים ספורט חברי מועצה|--
154|56|science-and-technology|משרד המדע|--
155|564|mof|אוצר וכלכלה|--
155|564|mof|משרד האוצר|--
155|564|mof|תקציב 2013|--
155|564|mof|תקציב 2014|--
155|564|mof|תקציב המדינה|--
156|566|culture_and_sports|מאגר יועצים משפטיים|--
157|568|culture_and_sports|אגרה|--
157|568|culture_and_sports|נהיגה|--
157|568|culture_and_sports|נהיגה ספורטיבית|--
157|568|culture_and_sports|רישוי|--
157|568|culture_and_sports|רישיון|--
158|591|science-and-technology|מוזיאונים חברי מועצה|--
159|609|culture_and_sports|התאחדות תאגיד נהיגה ספורטיבית|--
160|61|science-and-technology|משרד המדע|--
161|62|science-and-technology|משרד המדע|--
162|642|culture_and_sports|ספריות ציבוריות|--
163|643|culture_and_sports|ביקורת סרטים חברי מועצה|--
164|650|culture_and_sports|סרטים|--
165|651|bank_israel|אוצר וכלכלה|--
165|651|bank_israel|בנק ישראל|--
165|651|bank_israel|מטבע חוץ|--
165|651|bank_israel|שערי חליפין|--
166|652|bank_israel|אוצר וכלכלה|--
167|653|bank_israel|2013|--
167|653|bank_israel|אוצר וכלכלה|--
167|653|bank_israel|בנק ישראל|--
167|653|bank_israel|מטבע יציג|--
167|653|bank_israel|שערי מטבע|--
168|659|isa|אוצר וכלכלה|--
168|659|isa|השקעות|--
168|659|isa|חברות ייעוץ השקעות|--
168|659|isa|ניהול תיקים|--
168|659|isa|ניירות ערך|--
169|671|ministry_of_agriculture|בקר|--
169|671|ministry_of_agriculture|בריאות ורווחה|--
169|671|ministry_of_agriculture|דגים|--
169|671|ministry_of_agriculture|וטרינרים|--
169|671|ministry_of_agriculture|חקלאות|--
169|671|ministry_of_agriculture|מחלות בעלי חיים|--
169|671|ministry_of_agriculture|סביבה|--
169|671|ministry_of_agriculture|סוסים|--
170|673|ministry_of_agriculture|הדברה|--
170|673|ministry_of_agriculture|חקלאות|--
170|673|ministry_of_agriculture|סביבה|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|borehole|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|water|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|טיוב|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|מים|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|קידוח|--
171|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|רשות המים|--
172|711|mof|אוצר וכלכלה|--
172|711|mof|משרד האוצר|--
172|711|mof|שינויי תקציב|--
172|711|mof|תקציב 2013|--
172|711|mof|תקציב המדינה|--
173|808|mof|אוצר וכלכלה|--
174|813|ministry_of_justice|חוק חופש המידע|--
174|813|ministry_of_justice|משפט|--
175|814|ministry_of_justice|חופש המידע|--
175|814|ministry_of_justice|משפט|--
175|814|ministry_of_justice|תשובות לבקשות|--
176|826|israel_mapping_center|מטה דאטה|--
176|826|israel_mapping_center|סביבה|--
176|826|israel_mapping_center|שכבות|--
177|827|israel_mapping_center|מפות|--
177|827|israel_mapping_center|מרחק בין יישובים|--
177|827|israel_mapping_center|מרחקי דרך|--
177|827|israel_mapping_center|מרכז למיפוי ישראל|--
177|827|israel_mapping_center|סביבה|--
178|830|israel_mapping_center|GPS|--
178|830|israel_mapping_center|דיוק גבוה|--
178|830|israel_mapping_center|מיקום על פי לווין|--
178|830|israel_mapping_center|סביבה|--
178|830|israel_mapping_center|תחנות קבע|--
179|831|israel_mapping_center|מיפוי ישראל|--
179|831|israel_mapping_center|מפות|--
179|831|israel_mapping_center|מפות 25000|--
179|831|israel_mapping_center|סביבה|--
179|831|israel_mapping_center|קנה מידה 25000|--
180|832|israel_mapping_center|מפות 50000|--
180|832|israel_mapping_center|מפי|--
180|832|israel_mapping_center|מרכז למיפוי ישראל|--
180|832|israel_mapping_center|סביבה|--
181|833|israel_mapping_center|מפתח מפות|--
181|833|israel_mapping_center|סביבה|--
182|860|rabinical_court|אוכלוסיה|--
182|860|rabinical_court|דת|--
182|860|rabinical_court|משפט|--
183|861|rabinical_court|בתי דין|--
183|861|rabinical_court|בתי הדין הרבניים|--
183|861|rabinical_court|משפט|--
184|862|rabinical_court|בתי דין הרבניים|--
184|862|rabinical_court|בתי הדין|--
184|862|rabinical_court|גירושין|--
184|862|rabinical_court|דת|--
184|862|rabinical_court|משפט|--
184|862|rabinical_court|פסקי דין|--
185|863|rabinical_court|אוכלוסיה|--
185|863|rabinical_court|בתי הדין הרבניים|--
185|863|rabinical_court|גירושין|--
185|863|rabinical_court|דת|--
186|864|rabinical_court|בתי דין רבניים|--
186|864|rabinical_court|בתי הדין|--
186|864|rabinical_court|דת|--
186|864|rabinical_court|משפט|--
187|865|rabinical_court|בתי דין רבניים|--
187|865|rabinical_court|בתי הדין הרבניים|--
187|865|rabinical_court|דת|--
187|865|rabinical_court|משפט|--
188|926|israel_mapping_center|אוכלוסיה|--
188|926|israel_mapping_center|סביבה|--
188|926|israel_mapping_center|שדה תעופה|--
188|926|israel_mapping_center|שדות תעופה|--
188|926|israel_mapping_center|תחבורה|--
189|928|israel_mapping_center|נמלי פריקה והטענה|--
189|928|israel_mapping_center|נמלים|--
189|928|israel_mapping_center|סביבה|--
189|928|israel_mapping_center|פריקה|--
189|928|israel_mapping_center|תחבורה|--
190|930|israel_mapping_center|ים|--
190|930|israel_mapping_center|נמל|--
190|930|israel_mapping_center|נמלים ימיים|--
190|930|israel_mapping_center|סביבה|--
191|931|israel_mapping_center|סביבה|--
191|931|israel_mapping_center|שכבת דרכים|--
191|931|israel_mapping_center|תחבורה|--
192|932|israel_mapping_center|מסילות ברזל|--
192|932|israel_mapping_center|סביבה|--
193|933|israel_mapping_center|אנרגיה ומים|--
193|933|israel_mapping_center|נחל|--
193|933|israel_mapping_center|נחלים|--
193|933|israel_mapping_center|סביבה|--
193|933|israel_mapping_center|שכבת נחלים|--
194|934|isa|אוצר וכלכלה|--
194|934|isa|קרנות נאמנות|--
195|935|isa|אוצר וכלכלה|--
195|935|isa|מנהלי קרנות נאמנות|--
196|943|haifa|אוכלוסיה|--
196|943|haifa|איכות הסביבה|--
196|943|haifa|בתי כנסת|--
196|943|haifa|חינוך ותרבות|--
196|943|haifa|חיפה|--
197|944|haifa|אוכלוסיה|--
197|944|haifa|אזורים|--
197|944|haifa|חיפה|--
197|944|haifa|רובע|--
197|944|haifa|רחובות|--
198|945|haifa|אוכלוסיה|--
199|946|haifa|אוכלוסיה|--
199|946|haifa|חינוך ותרבות|--
200|947|haifa|אוכלוסיה|--
200|947|haifa|בריאות ורווחה|--
201|953|mof|אוצר וכלכלה|--
202|958|social_security|אוכלוסיה|--
203|961|mof|אוצר וכלכלה|--
204|969|mof|אוצר וכלכלה|--
204|969|mof|תקציב|--
205|982|mof|אוצר וכלכלה|--
205|982|mof|תקציב וביצוע|--
206|983|rabinical_court|דת|--
206|983|rabinical_court|משפט|--
207|991|mof|אוצר וכלכלה|--
207|991|mof|תקציב|--
208|a2016|mof|אוצר וכלכלה|--
208|a2016|mof|תקציב|--
209|a3|ministry_of_transport|מבחן נהיגה עיוני|--
209|a3|ministry_of_transport|משרד התחבורה|--
209|a3|ministry_of_transport|שאלות תאוריה|--
210|a3_aa|ministry_of_transport|מבחן נהיגה עיוני|--
210|a3_aa|ministry_of_transport|משרד התחבורה|--
210|a3_aa|ministry_of_transport|שאלות תאוריה|--
211|a3-fr|ministry_of_transport|מבחן נהיגה|--
